Ultra simple LIDAR data grabber for SLAMTEC LIDAR.
Version: 2.1.0
SLAMTEC LIDAR S/N: 76BFEDF9C7E29BCEA7E39EF2E66C4304
Firmware Ver: 1.29
Hardware Rev: 7
SLAMTEC Lidar health status : 0
   theta: 0.26 Dist: 09528.00 Q: 47 
   theta: 0.59 Dist: 09672.00 Q: 47 
   theta: 0.90 Dist: 09696.00 Q: 47 
   theta: 1.23 Dist: 09712.00 Q: 47 
   theta: 1.56 Dist: 09832.00 Q: 47 
   theta: 1.86 Dist: 00000.00 Q: 0 
   theta: 2.20 Dist: 09824.00 Q: 47 
   theta: 2.53 Dist: 09816.00 Q: 47 
   theta: 2.82 Dist: 00000.00 Q: 0 
   theta: 3.17 Dist: 09856.00 Q: 47 
   theta: 3.47 Dist: 00000.00 Q: 0 
   theta: 3.82 Dist: 09864.00 Q: 47 
   theta: 4.14 Dist: 09888.00 Q: 47 
   theta: 4.47 Dist: 09864.00 Q: 47 
   theta: 4.80 Dist: 09840.00 Q: 47 
   theta: 5.11 Dist: 09872.00 Q: 47 
   theta: 5.43 Dist: 09904.00 Q: 47 
   theta: 5.73 Dist: 00000.00 Q: 0 
   theta: 6.09 Dist: 09920.00 Q: 47 
   theta: 6.37 Dist: 00000.00 Q: 0 
   theta: 6.70 Dist: 00000.00 Q: 0 
   theta: 7.02 Dist: 00000.00 Q: 0 
   theta: 7.34 Dist: 00000.00 Q: 0 
   theta: 7.67 Dist: 00000.00 Q: 0 
   theta: 7.99 Dist: 00000.00 Q: 0 
   theta: 8.31 Dist: 00000.00 Q: 0 
   theta: 8.64 Dist: 00000.00 Q: 0 
   theta: 8.96 Dist: 00000.00 Q: 0 
   theta: 9.28 Dist: 00000.00 Q: 0 
   theta: 9.60 Dist: 00000.00 Q: 0 
   theta: 9.93 Dist: 00000.00 Q: 0 
   theta: 10.25 Dist: 00000.00 Q: 0 
   theta: 10.57 Dist: 00000.00 Q: 0 
   theta: 10.89 Dist: 00000.00 Q: 0 
   theta: 11.22 Dist: 00000.00 Q: 0 
   theta: 11.54 Dist: 00000.00 Q: 0 
   theta: 11.87 Dist: 00000.00 Q: 0 
   theta: 12.18 Dist: 00000.00 Q: 0 
   theta: 12.51 Dist: 00000.00 Q: 0 
   theta: 12.83 Dist: 00000.00 Q: 0 
   theta: 13.16 Dist: 00000.00 Q: 0 
   theta: 13.48 Dist: 00000.00 Q: 0 
   theta: 13.80 Dist: 00000.00 Q: 0 
   theta: 14.12 Dist: 00000.00 Q: 0 
   theta: 14.45 Dist: 00000.00 Q: 0 
   theta: 14.77 Dist: 00000.00 Q: 0 
   theta: 15.09 Dist: 00000.00 Q: 0 
   theta: 15.41 Dist: 00000.00 Q: 0 
   theta: 15.74 Dist: 00000.00 Q: 0 
   theta: 16.06 Dist: 00000.00 Q: 0 
   theta: 16.39 Dist: 00000.00 Q: 0 
   theta: 17.05 Dist: 03104.00 Q: 47 
   theta: 17.42 Dist: 02920.00 Q: 47 
   theta: 17.75 Dist: 02892.00 Q: 47 
   theta: 18.00 Dist: 00000.00 Q: 0 
   theta: 18.08 Dist: 02856.00 Q: 47 
   theta: 18.72 Dist: 02736.00 Q: 47 
   theta: 18.97 Dist: 00000.00 Q: 0 
   theta: 19.09 Dist: 02708.00 Q: 47 
   theta: 19.29 Dist: 00000.00 Q: 0 
   theta: 19.61 Dist: 00000.00 Q: 0 
   theta: 20.39 Dist: 02532.00 Q: 47 
   theta: 20.71 Dist: 02488.00 Q: 47 
   theta: 21.09 Dist: 02456.00 Q: 47 
   theta: 21.42 Dist: 02412.00 Q: 47 
   theta: 21.73 Dist: 02372.00 Q: 47 
   theta: 22.06 Dist: 02356.00 Q: 47 
   theta: 22.39 Dist: 02320.00 Q: 47 
   theta: 22.71 Dist: 02284.00 Q: 47 
   theta: 23.03 Dist: 02256.00 Q: 47 
   theta: 23.42 Dist: 02224.00 Q: 47 
   theta: 23.73 Dist: 02204.00 Q: 47 
   theta: 24.06 Dist: 02180.00 Q: 47 
   theta: 24.39 Dist: 02152.00 Q: 47 
   theta: 24.70 Dist: 02116.00 Q: 47 
   theta: 25.03 Dist: 02084.00 Q: 47 
   theta: 25.36 Dist: 02060.00 Q: 47 
   theta: 25.73 Dist: 02034.00 Q: 47 
   theta: 26.06 Dist: 02018.00 Q: 47 
   theta: 26.37 Dist: 01994.00 Q: 47 
   theta: 26.70 Dist: 01966.00 Q: 47 
   theta: 27.03 Dist: 01950.00 Q: 47 
   theta: 27.34 Dist: 01942.00 Q: 47 
   theta: 27.67 Dist: 01918.00 Q: 47 
   theta: 28.04 Dist: 01890.00 Q: 47 
   theta: 28.37 Dist: 01870.00 Q: 47 
   theta: 28.70 Dist: 01852.00 Q: 47 
   theta: 29.01 Dist: 01836.00 Q: 47 
   theta: 29.34 Dist: 01812.00 Q: 47 
   theta: 29.67 Dist: 01794.00 Q: 47 
   theta: 30.00 Dist: 01776.00 Q: 47 
   theta: 30.31 Dist: 01762.00 Q: 47 
   theta: 30.68 Dist: 01750.00 Q: 47 
   theta: 31.01 Dist: 01728.00 Q: 47 
   theta: 31.34 Dist: 01714.00 Q: 47 
   theta: 31.67 Dist: 01698.00 Q: 47 
   theta: 31.98 Dist: 01682.00 Q: 47 
   theta: 32.31 Dist: 01670.00 Q: 47 
   theta: 32.64 Dist: 01660.00 Q: 47 
   theta: 32.95 Dist: 01642.00 Q: 47 
   theta: 33.34 Dist: 01624.00 Q: 47 
   theta: 33.65 Dist: 01610.00 Q: 47 
   theta: 33.98 Dist: 01596.00 Q: 47 
   theta: 34.31 Dist: 01586.00 Q: 47 
   theta: 34.62 Dist: 01576.00 Q: 47 
   theta: 34.95 Dist: 01560.00 Q: 47 
   theta: 35.28 Dist: 01546.00 Q: 47 
   theta: 35.66 Dist: 01536.00 Q: 47 
   theta: 35.98 Dist: 01524.00 Q: 47 
   theta: 36.29 Dist: 01512.00 Q: 47 
   theta: 36.62 Dist: 01500.00 Q: 47 
   theta: 36.95 Dist: 01492.00 Q: 47 
   theta: 37.27 Dist: 01480.00 Q: 47 
   theta: 37.59 Dist: 01466.00 Q: 47 
   theta: 37.92 Dist: 01456.00 Q: 47 
   theta: 38.29 Dist: 01444.00 Q: 47 
   theta: 38.62 Dist: 01434.00 Q: 47 
   theta: 38.94 Dist: 01424.00 Q: 47 
   theta: 39.27 Dist: 01420.00 Q: 47 
   theta: 39.59 Dist: 01410.00 Q: 47 
   theta: 39.90 Dist: 01396.00 Q: 47 
   theta: 40.23 Dist: 01388.00 Q: 47 
   theta: 40.56 Dist: 01378.00 Q: 47 
   theta: 40.89 Dist: 01368.00 Q: 47 
   theta: 41.26 Dist: 01358.00 Q: 47 
   theta: 41.58 Dist: 01352.00 Q: 47 
   theta: 41.90 Dist: 01344.00 Q: 47 
   theta: 42.23 Dist: 01334.00 Q: 47 
   theta: 42.56 Dist: 01326.00 Q: 47 
   theta: 42.87 Dist: 01318.00 Q: 47 
   theta: 43.20 Dist: 01310.00 Q: 47 
   theta: 43.53 Dist: 01302.00 Q: 47 
   theta: 43.90 Dist: 01294.00 Q: 47 
   theta: 44.23 Dist: 01286.00 Q: 47 
   theta: 44.54 Dist: 01280.00 Q: 47 
   theta: 44.87 Dist: 01272.00 Q: 47 
   theta: 45.20 Dist: 01266.00 Q: 47 
   theta: 45.51 Dist: 01260.00 Q: 47 
   theta: 45.84 Dist: 01254.00 Q: 47 
   theta: 46.17 Dist: 01246.00 Q: 47 
   theta: 46.48 Dist: 01240.00 Q: 47 
   theta: 46.81 Dist: 01236.00 Q: 47 
   theta: 47.14 Dist: 01230.00 Q: 47 
   theta: 47.51 Dist: 01224.00 Q: 47 
   theta: 47.84 Dist: 01218.00 Q: 47 
   theta: 48.15 Dist: 01212.00 Q: 47 
   theta: 48.48 Dist: 01206.00 Q: 47 
   theta: 48.81 Dist: 01202.00 Q: 47 
   theta: 49.12 Dist: 01196.00 Q: 47 
   theta: 49.45 Dist: 01188.00 Q: 47 
   theta: 49.78 Dist: 01182.00 Q: 47 
   theta: 50.11 Dist: 01176.00 Q: 47 
   theta: 50.48 Dist: 01170.00 Q: 47 
   theta: 50.80 Dist: 01164.00 Q: 47 
   theta: 51.12 Dist: 01158.00 Q: 47 
   theta: 51.45 Dist: 01156.00 Q: 47 
   theta: 51.78 Dist: 01152.00 Q: 47 
   theta: 52.09 Dist: 01144.00 Q: 47 
   theta: 52.42 Dist: 01140.00 Q: 47 
   theta: 52.75 Dist: 01134.00 Q: 47 
   theta: 53.06 Dist: 01130.00 Q: 47 
   theta: 53.39 Dist: 01126.00 Q: 47 
   theta: 53.72 Dist: 01122.00 Q: 47 
   theta: 54.03 Dist: 01118.00 Q: 47 
   theta: 54.42 Dist: 01112.00 Q: 47 
   theta: 54.73 Dist: 01110.00 Q: 47 
   theta: 55.06 Dist: 01106.00 Q: 47 
   theta: 55.39 Dist: 01102.00 Q: 47 
   theta: 55.70 Dist: 01098.00 Q: 47 
   theta: 56.03 Dist: 01094.00 Q: 47 
   theta: 56.35 Dist: 01090.00 Q: 47 
   theta: 56.68 Dist: 01086.00 Q: 47 
   theta: 57.00 Dist: 01082.00 Q: 47 
   theta: 57.33 Dist: 01078.00 Q: 47 
   theta: 57.66 Dist: 01074.00 Q: 47 
   theta: 57.98 Dist: 01070.00 Q: 47 
   theta: 58.36 Dist: 01066.00 Q: 47 
   theta: 58.68 Dist: 01064.00 Q: 47 
   theta: 59.00 Dist: 01060.00 Q: 47 
   theta: 59.33 Dist: 01056.00 Q: 47 
   theta: 59.66 Dist: 01054.00 Q: 47 
   theta: 59.98 Dist: 01052.00 Q: 47 
   theta: 60.29 Dist: 01048.00 Q: 47 
   theta: 60.62 Dist: 01044.00 Q: 47 
   theta: 60.95 Dist: 01040.00 Q: 47 
   theta: 61.27 Dist: 01038.00 Q: 47 
   theta: 61.59 Dist: 01036.00 Q: 47 
   theta: 61.92 Dist: 01032.00 Q: 47 
   theta: 62.25 Dist: 01032.00 Q: 47 
   theta: 62.56 Dist: 01030.00 Q: 47 
   theta: 62.95 Dist: 01024.00 Q: 47 
   theta: 63.26 Dist: 01022.00 Q: 47 
   theta: 63.59 Dist: 01020.00 Q: 47 
   theta: 63.92 Dist: 01018.00 Q: 47 
   theta: 64.25 Dist: 01014.00 Q: 47 
   theta: 64.56 Dist: 01012.00 Q: 47 
   theta: 64.89 Dist: 01010.00 Q: 47 
   theta: 65.21 Dist: 01008.00 Q: 47 
   theta: 65.54 Dist: 01006.00 Q: 47 
   theta: 65.86 Dist: 01002.00 Q: 47 
   theta: 66.19 Dist: 01000.00 Q: 47 
   theta: 66.51 Dist: 00998.00 Q: 47 
   theta: 66.82 Dist: 00996.00 Q: 47 
   theta: 67.15 Dist: 00994.00 Q: 47 
   theta: 67.48 Dist: 00990.00 Q: 47 
   theta: 67.81 Dist: 00988.00 Q: 47 
   theta: 68.12 Dist: 00986.00 Q: 47 
   theta: 68.45 Dist: 00984.00 Q: 47 
   theta: 68.78 Dist: 00984.00 Q: 47 
   theta: 69.15 Dist: 00980.00 Q: 47 
   theta: 69.48 Dist: 00978.00 Q: 47 
   theta: 69.81 Dist: 00976.00 Q: 47 
   theta: 70.12 Dist: 00974.00 Q: 47 
   theta: 70.45 Dist: 00972.00 Q: 47 
   theta: 70.78 Dist: 00970.00 Q: 47 
   theta: 71.09 Dist: 00970.00 Q: 47 
   theta: 71.42 Dist: 00968.00 Q: 47 
   theta: 71.75 Dist: 00966.00 Q: 47 
   theta: 72.08 Dist: 00964.00 Q: 47 
   theta: 72.39 Dist: 00964.00 Q: 47 
   theta: 72.72 Dist: 00960.00 Q: 47 
   theta: 73.04 Dist: 00958.00 Q: 47 
   theta: 73.37 Dist: 00958.00 Q: 47 
   theta: 73.69 Dist: 00956.00 Q: 47 
   theta: 74.01 Dist: 00954.00 Q: 47 
   theta: 74.34 Dist: 00954.00 Q: 47 
