Ultra simple LIDAR data grabber for SLAMTEC LIDAR.
Version: 2.1.0
SLAMTEC LIDAR S/N: 76BFEDF9C7E29BCEA7E39EF2E66C4304
Firmware Ver: 1.29
Hardware Rev: 7
SLAMTEC Lidar health status : 0
   theta: 0.06 Dist: 00658.00 Q: 47 
   theta: 0.37 Dist: 00658.00 Q: 47 
   theta: 0.70 Dist: 00658.00 Q: 47 
   theta: 1.01 Dist: 00658.00 Q: 47 
   theta: 1.32 Dist: 00660.00 Q: 47 
   theta: 1.64 Dist: 00660.00 Q: 47 
   theta: 1.95 Dist: 00662.00 Q: 47 
   theta: 2.28 Dist: 00662.00 Q: 47 
   theta: 2.59 Dist: 00662.00 Q: 47 
   theta: 2.91 Dist: 00662.00 Q: 47 
   theta: 3.21 Dist: 00664.00 Q: 47 
   theta: 3.53 Dist: 00664.00 Q: 47 
   theta: 3.86 Dist: 00664.00 Q: 47 
   theta: 4.11 Dist: 00666.00 Q: 47 
   theta: 4.42 Dist: 00666.00 Q: 47 
   theta: 4.75 Dist: 00668.00 Q: 47 
   theta: 5.06 Dist: 00668.00 Q: 47 
   theta: 5.37 Dist: 00670.00 Q: 47 
   theta: 5.69 Dist: 00670.00 Q: 47 
   theta: 6.00 Dist: 00672.00 Q: 47 
   theta: 6.33 Dist: 00672.00 Q: 47 
   theta: 6.64 Dist: 00674.00 Q: 47 
   theta: 6.95 Dist: 00674.00 Q: 47 
   theta: 7.26 Dist: 00676.00 Q: 47 
   theta: 7.58 Dist: 00676.00 Q: 47 
   theta: 7.90 Dist: 00678.00 Q: 47 
   theta: 8.22 Dist: 00680.00 Q: 47 
   theta: 8.53 Dist: 00680.00 Q: 47 
   theta: 8.84 Dist: 00682.00 Q: 47 
   theta: 9.11 Dist: 00684.00 Q: 47 
   theta: 9.42 Dist: 00686.00 Q: 47 
   theta: 9.73 Dist: 00686.00 Q: 47 
   theta: 10.04 Dist: 00686.00 Q: 47 
   theta: 10.37 Dist: 00688.00 Q: 47 
   theta: 10.68 Dist: 00690.00 Q: 47 
   theta: 11.00 Dist: 00690.00 Q: 47 
   theta: 11.31 Dist: 00692.00 Q: 47 
   theta: 11.62 Dist: 00694.00 Q: 47 
   theta: 11.95 Dist: 00694.00 Q: 47 
   theta: 12.26 Dist: 00696.00 Q: 47 
   theta: 12.57 Dist: 00698.00 Q: 47 
   theta: 12.89 Dist: 00698.00 Q: 47 
   theta: 13.20 Dist: 00700.00 Q: 47 
   theta: 13.57 Dist: 00000.00 Q: 0 
   theta: 13.89 Dist: 00000.00 Q: 0 
   theta: 14.09 Dist: 00708.00 Q: 47 
   theta: 14.42 Dist: 00706.00 Q: 47 
   theta: 14.83 Dist: 00000.00 Q: 0 
   theta: 15.05 Dist: 00708.00 Q: 47 
   theta: 15.36 Dist: 00710.00 Q: 47 
   theta: 15.67 Dist: 00714.00 Q: 47 
   theta: 15.98 Dist: 00716.00 Q: 47 
   theta: 16.31 Dist: 00718.00 Q: 47 
   theta: 16.62 Dist: 00720.00 Q: 47 
   theta: 16.94 Dist: 00722.00 Q: 47 
   theta: 17.25 Dist: 00722.00 Q: 47 
   theta: 17.51 Dist: 00724.00 Q: 47 
   theta: 17.83 Dist: 00728.00 Q: 47 
   theta: 18.14 Dist: 00730.00 Q: 47 
   theta: 18.45 Dist: 00730.00 Q: 47 
   theta: 18.78 Dist: 00732.00 Q: 47 
   theta: 19.09 Dist: 00736.00 Q: 47 
   theta: 19.40 Dist: 00738.00 Q: 47 
   theta: 19.71 Dist: 00740.00 Q: 47 
   theta: 20.03 Dist: 00742.00 Q: 47 
   theta: 20.36 Dist: 00744.00 Q: 47 
   theta: 20.60 Dist: 00746.00 Q: 47 
   theta: 20.92 Dist: 00750.00 Q: 47 
   theta: 21.25 Dist: 00752.00 Q: 47 
   theta: 21.56 Dist: 00754.00 Q: 47 
   theta: 21.87 Dist: 00758.00 Q: 47 
   theta: 22.19 Dist: 00760.00 Q: 47 
   theta: 22.50 Dist: 00762.00 Q: 47 
   theta: 22.82 Dist: 00764.00 Q: 47 
   theta: 23.14 Dist: 00766.00 Q: 47 
   theta: 23.40 Dist: 00770.00 Q: 47 
   theta: 23.71 Dist: 00772.00 Q: 47 
   theta: 24.03 Dist: 00774.00 Q: 47 
   theta: 24.34 Dist: 00778.00 Q: 47 
   theta: 24.67 Dist: 00780.00 Q: 47 
   theta: 24.98 Dist: 00782.00 Q: 47 
   theta: 25.30 Dist: 00786.00 Q: 47 
   theta: 25.61 Dist: 00790.00 Q: 47 
   theta: 25.93 Dist: 00792.00 Q: 47 
   theta: 26.19 Dist: 00794.00 Q: 47 
   theta: 26.50 Dist: 00798.00 Q: 47 
   theta: 26.82 Dist: 00800.00 Q: 47 
   theta: 27.14 Dist: 00804.00 Q: 47 
   theta: 27.45 Dist: 00806.00 Q: 47 
   theta: 27.76 Dist: 00810.00 Q: 47 
   theta: 28.09 Dist: 00814.00 Q: 47 
   theta: 28.41 Dist: 00816.00 Q: 47 
   theta: 28.67 Dist: 00820.00 Q: 47 
   theta: 28.98 Dist: 00826.00 Q: 47 
   theta: 29.30 Dist: 00828.00 Q: 47 
   theta: 29.61 Dist: 00832.00 Q: 47 
   theta: 29.93 Dist: 00836.00 Q: 47 
   theta: 30.25 Dist: 00840.00 Q: 47 
   theta: 30.56 Dist: 00844.00 Q: 47 
   theta: 30.83 Dist: 00848.00 Q: 47 
   theta: 31.14 Dist: 00850.00 Q: 47 
   theta: 31.45 Dist: 00856.00 Q: 47 
   theta: 31.78 Dist: 00860.00 Q: 47 
   theta: 32.09 Dist: 00862.00 Q: 47 
   theta: 32.40 Dist: 00866.00 Q: 47 
   theta: 32.72 Dist: 00870.00 Q: 47 
   theta: 33.05 Dist: 00874.00 Q: 47 
   theta: 33.35 Dist: 00878.00 Q: 47 
   theta: 33.61 Dist: 00880.00 Q: 47 
   theta: 33.94 Dist: 00886.00 Q: 47 
   theta: 34.25 Dist: 00890.00 Q: 47 
   theta: 34.56 Dist: 00894.00 Q: 47 
   theta: 34.87 Dist: 00900.00 Q: 47 
   theta: 35.20 Dist: 00904.00 Q: 47 
   theta: 35.51 Dist: 00908.00 Q: 47 
   theta: 35.78 Dist: 00912.00 Q: 47 
   theta: 36.09 Dist: 00918.00 Q: 47 
   theta: 36.40 Dist: 00922.00 Q: 47 
   theta: 36.72 Dist: 00926.00 Q: 47 
   theta: 37.05 Dist: 00932.00 Q: 47 
   theta: 37.36 Dist: 00936.00 Q: 47 
   theta: 37.67 Dist: 00942.00 Q: 47 
   theta: 37.94 Dist: 00946.00 Q: 47 
   theta: 38.25 Dist: 00952.00 Q: 47 
   theta: 38.56 Dist: 00958.00 Q: 47 
   theta: 38.89 Dist: 00964.00 Q: 47 
   theta: 39.20 Dist: 00968.00 Q: 47 
