Ultra simple LIDAR data grabber for SLAMTEC LIDAR.
Version: 2.1.0
SLAMTEC LIDAR S/N: 76BFEDF9C7E29BCEA7E39EF2E66C4304
Firmware Ver: 1.29
Hardware Rev: 7
SLAMTEC Lidar health status : 0
   theta: 0.28 Dist: 00230.00 Q: 47 
   theta: 0.59 Dist: 00230.00 Q: 47 
   theta: 0.92 Dist: 00230.00 Q: 47 
   theta: 1.23 Dist: 00230.00 Q: 47 
   theta: 1.54 Dist: 00230.00 Q: 47 
   theta: 1.86 Dist: 00230.00 Q: 47 
   theta: 2.17 Dist: 00230.00 Q: 47 
   theta: 2.48 Dist: 00230.00 Q: 47 
   theta: 2.81 Dist: 00230.00 Q: 47 
   theta: 3.12 Dist: 00230.00 Q: 47 
   theta: 3.43 Dist: 00231.00 Q: 47 
   theta: 3.75 Dist: 00231.00 Q: 47 
   theta: 4.06 Dist: 00231.00 Q: 47 
   theta: 4.37 Dist: 00231.00 Q: 47 
   theta: 4.70 Dist: 00231.00 Q: 47 
   theta: 5.02 Dist: 00231.00 Q: 47 
   theta: 5.32 Dist: 00231.00 Q: 47 
   theta: 5.64 Dist: 00231.00 Q: 47 
   theta: 5.95 Dist: 00231.00 Q: 47 
   theta: 6.22 Dist: 00232.00 Q: 47 
   theta: 6.53 Dist: 00232.00 Q: 47 
   theta: 6.84 Dist: 00232.00 Q: 47 
   theta: 7.15 Dist: 00232.00 Q: 47 
   theta: 7.47 Dist: 00233.00 Q: 47 
   theta: 7.79 Dist: 00233.00 Q: 47 
   theta: 8.11 Dist: 00233.00 Q: 47 
   theta: 8.42 Dist: 00233.00 Q: 47 
   theta: 8.73 Dist: 00234.00 Q: 47 
   theta: 9.04 Dist: 00234.00 Q: 47 
   theta: 9.35 Dist: 00234.00 Q: 47 
   theta: 9.68 Dist: 00234.00 Q: 47 
   theta: 9.94 Dist: 00235.00 Q: 47 
   theta: 10.24 Dist: 00235.00 Q: 47 
   theta: 10.57 Dist: 00235.00 Q: 47 
   theta: 10.89 Dist: 00235.00 Q: 47 
   theta: 11.20 Dist: 00236.00 Q: 47 
   theta: 11.51 Dist: 00236.00 Q: 47 
   theta: 11.83 Dist: 00236.00 Q: 47 
   theta: 12.14 Dist: 00236.00 Q: 47 
   theta: 12.40 Dist: 00237.00 Q: 47 
   theta: 12.72 Dist: 00237.00 Q: 47 
   theta: 13.03 Dist: 00238.00 Q: 47 
   theta: 13.34 Dist: 00238.00 Q: 47 
   theta: 13.67 Dist: 00238.00 Q: 47 
   theta: 13.98 Dist: 00238.00 Q: 47 
   theta: 14.23 Dist: 00239.00 Q: 47 
   theta: 14.55 Dist: 00239.00 Q: 47 
   theta: 14.87 Dist: 00240.00 Q: 47 
   theta: 15.18 Dist: 00240.00 Q: 47 
   theta: 15.50 Dist: 00241.00 Q: 47 
   theta: 15.81 Dist: 00241.00 Q: 47 
   theta: 16.12 Dist: 00241.00 Q: 47 
   theta: 16.39 Dist: 00242.00 Q: 47 
   theta: 16.70 Dist: 00242.00 Q: 47 
   theta: 17.01 Dist: 00243.00 Q: 47 
   theta: 17.33 Dist: 00243.00 Q: 47 
   theta: 17.59 Dist: 00244.00 Q: 47 
   theta: 17.90 Dist: 00244.00 Q: 47 
   theta: 18.22 Dist: 00245.00 Q: 47 
   theta: 18.53 Dist: 00245.00 Q: 47 
   theta: 18.79 Dist: 00246.00 Q: 47 
   theta: 19.11 Dist: 00246.00 Q: 47 
   theta: 19.42 Dist: 00247.00 Q: 47 
   theta: 19.75 Dist: 00247.00 Q: 47 
   theta: 20.06 Dist: 00248.00 Q: 47 
   theta: 20.37 Dist: 00248.00 Q: 47 
   theta: 20.62 Dist: 00249.00 Q: 47 
   theta: 20.95 Dist: 00249.00 Q: 47 
   theta: 21.26 Dist: 00250.00 Q: 47 
   theta: 21.51 Dist: 00251.00 Q: 47 
   theta: 21.84 Dist: 00251.00 Q: 47 
   theta: 22.15 Dist: 00252.00 Q: 47 
   theta: 22.47 Dist: 00253.00 Q: 47 
   theta: 22.78 Dist: 00253.00 Q: 47 
   theta: 23.04 Dist: 00254.00 Q: 47 
   theta: 23.36 Dist: 00254.00 Q: 47 
   theta: 23.67 Dist: 00255.00 Q: 47 
   theta: 23.98 Dist: 00256.00 Q: 47 
